word,positive-emotion,negative-emotion,neutral-emotion,ambiguous-emotion
helplessness,1.30892130483,1.1261081242,1.21990570951,1.34597824457
burdened,1.29604743843,1.14800687108,1.27009105049,1.34511541469
persecute,1.4037747493,1.28379176819,1.47596623354,1.47003737509
oppressively,1.3340727279,1.24740205197,1.30877550911,1.41052162705
downtrodden,1.19394039765,1.16545780133,1.3009486301,1.3472781109
oppressive,1.25001694337,1.04793498796,1.13944276548,1.38552924349
oppression,1.38195817234,1.1582143183,1.32137616168,1.45059843441
unfortunate,1.15776651831,1.00415681384,1.21983059421,1.1272470816
laden,1.48759989697,1.38204646901,1.52608034662,1.43662606488
domineering,1.1468723369,1.02172717452,1.15686899847,1.25469383353
demoralizing,1.32383222895,1.14925598649,1.35868221031,1.26204179675
demoralization,1.36272605444,1.19161356092,1.24684410048,1.27855370219
despondent,1.17141898627,0.935733621805,1.27171863073,1.12853231913
hopeless,1.14907478014,0.934096389349,1.18080423698,1.1168265771
despairingly,1.42813077338,1.40333510205,1.42919244714,1.40919779173
despondency,1.10895696279,1.01645385299,1.21817318032,1.14451563978
heartbroken,1.13235440552,1.02301098108,1.32479254655,1.15101419033
sad,1.07664992416,1.06878061496,1.29061776579,1.06422504525
bereft,1.25683868087,1.20671166607,1.24638868672,1.32274228398
heartbreaking,1.19936577194,1.16940242404,1.34097189349,1.069000427
unsound,1.35674171254,1.21117457642,1.2629637776,1.39931134174
sorrow,1.06346266343,1.03439525293,1.2900467711,1.13736016685
heartsick,1.37933053095,1.38690913089,1.50513777792,1.38714190347
dolorous,1.5059789107,1.4851496467,1.48827586358,1.48965725151
grieving,1.26519438767,1.11444856999,1.41758407309,1.3361553179
bitter,1.24782728477,1.05549139902,1.26783203123,1.26775192115
mourning,1.3760883976,1.32477636742,1.45479030723,1.46756979583
tormented,1.10792607604,0.863443909299,1.25588093764,1.08661618224
lamenting,1.14483235018,1.03200808771,1.3152924303,1.11978727654
heartrending,1.34113770433,1.35795844493,1.48505683405,1.38544247596
weeping,1.21781292848,1.17381758047,1.43118228358,1.20584770172
tortured,1.44443475925,1.19422917094,1.46124074296,1.35128823507
brokenhearted,1.35916614919,1.33967200701,1.47629963218,1.33797462565
sorrowing,1.33013338752,1.3007494721,1.46907240343,1.39116539937
tearful,1.18476027991,1.12123396997,1.36794136742,1.15361330074
elegiac,1.23373335538,1.36059528055,1.35340332841,1.34444955719
lachrymose,1.43632026953,1.44520134935,1.51063959242,1.45731221102
wailing,1.22592903898,1.14104454125,1.39961102311,1.12567746744
mournful,1.08513640658,1.08611325672,1.24901690466,1.10003713154
bereaved,1.3989113021,1.30594158091,1.41720985051,1.51149119556
woeful,1.27307587418,1.13748331277,1.37260494326,1.16835361439
lugubrious,1.28705974855,1.26371587764,1.33044326247,1.22511699128
anguished,1.07357295799,0.965023228553,1.13685732295,1.07309056189
plaintive,1.13577832899,1.21501257886,1.32662251671,1.14026581233
