word,positive-emotion,negative-emotion,neutral-emotion,ambiguous-emotion,r
stony,1.62006143215,1.59328510937,1.56210999744,1.61113246663,26.7148975452
disquieted,1.42087196913,1.33747743896,1.38793015279,1.46504256726,2.35255117416
funereal,1.47316375719,1.4283983631,1.51192518495,1.4274009022,3.46932299578
aggravation,1.30861899221,1.1576235681,1.28110734112,1.37455144499,3.89014931268
annoying,1.01379972232,0.927833752771,1.10092011116,0.991701286551,18.4528211972
distrustful,1.14909931227,1.03589071428,1.13467551454,1.26747112771,8.19756602439
wretched,1.15295452365,1.02222958719,1.2822606866,1.13282402411,13.7711936995
hard,1.27252157423,1.2607692236,1.398106962,1.32499354301,32.6678914468
distress,1.34364889828,1.18539067349,1.27528553693,1.37105673709,31.7992495702
broken,1.50386472088,1.37851297054,1.56735401348,1.42497471591,35.7558164157
timid,0.96968092131,0.858453879271,1.04183766561,1.05146730426,15.6869300715
dirty,1.42732397418,1.28513345158,1.52045333724,1.37249087682,31.4328964024
opponent,1.50213328038,1.38584221088,1.38743816471,1.49604356608,40.1045933952
dark,1.36532120369,1.34373787206,1.45588208097,1.34132509897,32.3497070414
hysteria,1.36280581525,1.06606223713,1.28613142171,1.21328638825,22.1628295653
hideous,1.22425537878,1.05917002512,1.36669985533,1.05529047141,15.5260202795
wroth,1.48658481829,1.47019628505,1.54603680248,1.49305621172,3.20255705505
embarrassing,1.17184141231,0.96381036312,1.13032441834,1.10358184286,22.5701489788
disgracefully,1.43693236569,1.3175340836,1.4871220167,1.40952159356,2.25730474878
disapprove,1.2956896779,1.23808644659,1.34613289952,1.4261171388,9.67465078824
disorganised,1.48355077585,1.29728866364,1.26224556249,1.40887044291,7.58132659441
blues,1.47719183894,1.55061709992,1.63390582241,1.45578546841,36.5461129352
displeased,1.13309194557,1.04609209158,1.29741461021,1.13786833873,18.2020012114
avaricious,1.1367377365,1.02816313136,1.17968451816,1.25609280452,6.20959514697
discomfiture,1.38595258767,1.19294370442,1.35929192653,1.34848914649,2.32703307316
discouraged,1.35583251216,1.21130602098,1.2129989948,1.44846650098,27.4818132879
heartrending,1.34113770433,1.35795844493,1.48505683405,1.38544247596,1.34984914825
unclean,1.33958215377,1.2074950564,1.39187752497,1.44213665396,14.1614576546
lamenting,1.14483235018,1.03200808771,1.3152924303,1.11978727654,12.1207347227
weight,1.53128115478,1.57239568945,1.47136066083,1.59980814181,38.5371686145
cynicism,1.00911875028,0.906922239038,1.02257613883,1.07427620032,14.5403311034
